player_name,player_id,season,season_type,team,G,poss,min_played,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Georges Niang,niangge01,2021,PO,UTA,72,94,43,2.325690096,-2.481243426,-0.155553331,7.995351574,13.24789418,21.24324576,3.507095796,0.7440014,4.251097196,0.161789619,0,0.161789619,0.051874144,-1.491995083,-1.440120939,2.088304922
Georges Niang,niangge01,2021,RS,UTA,72,2446,1154,0.113166435,0.018271795,0.13143823,2.43772405,4.623759045,7.061483094,0.536281937,0.907553556,1.443835494,2.475173722,2.475173722,0,1.150930654,-0.352859891,0.798070763,0.243968415
Zeke Nnaji,nnajize01,2021,PO,DEN,42,18,8,-10.63619638,-5.384940224,-16.02113661,-26.17079608,20.57576245,-5.59503363,-14.55135419,-0.298736986,-14.85009117,-0.051933694,0,-0.051933694,-13.07047348,1.271061096,-11.79941239,1.916790476
Zeke Nnaji,nnajize01,2021,RS,DEN,42,848,397,-1.492573856,-3.099262111,-4.591835967,-6.837057683,-0.869004701,-7.706062384,-2.752912213,-2.849501253,-5.602413466,-0.575775706,-0.575775706,0,-2.425578782,-3.445480862,-5.871059644,-0.34586483
Nerlens Noel,noelne01,2021,PO,NYK,64,128,62,0.299740381,8.452021162,8.751761543,-14.66814544,-3.162250588,-17.83039603,-2.732928224,6.427270301,3.694342077,0.21277507,0,0.21277507,-4.204228291,7.729540077,3.525311786,1.17932504
Nerlens Noel,noelne01,2021,RS,NYK,64,3118,1547,-3.371368576,3.907584351,0.536215775,1.344745183,-2.474519674,-1.129774491,-2.572022568,2.718279067,0.1462565,2.267522184,2.267522184,0,-2.587133412,3.30067298,0.713539568,-0.814249023
Jaylen Nowell,nowelja01,2021,RS,MIN,42,1640,759,-0.351040917,-2.599169074,-2.950209992,-3.568882102,-0.34376932,-3.912651421,-0.99267707,-2.239102997,-3.231780067,-0.186471544,-0.186471544,0,-1.51201805,-1.711778466,-3.223796516,-0.050787991
Frank Ntilikina,ntilila01,2021,PO,NYK,33,3,1,-4.251482208,-46.61821574,-50.86969794,0.266861651,5.288696585,5.555558236,-3.544037787,-38.64632107,-42.19035885,-0.021308329,0,-0.021308329,-5.399437957,-20.17375504,-25.573193,2.617566762
Frank Ntilikina,ntilila01,2021,RS,NYK,33,667,322,-2.160203662,0.66923014,-1.490973522,-6.517682807,2.97518141,-3.542501397,-3.186390006,1.139357886,-2.04703212,0.115467125,0.115467125,0,-3.101160688,1.404472345,-1.696688343,-0.017077278
James Nunnally,nunnaja01,2021,RS,NOP,9,104,48,0.042679001,-9.473668701,-9.430989701,-6.287148957,-0.246443641,-6.533592598,-1.294366419,-8.132885692,-9.427252111,-0.164377926,-0.164377926,0,0.463682006,-10.00284741,-9.539165408,0.527776639
