player_name,player_id,Pos,Age,team,G,Season,min_played,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Joel Anthony,anthojo01,C,31,BOS,21,2014,149,8.1,0.384,0,0.231,9.6,14.1,11.8,1.9,1,4.1,6.5,9.1,0,0.1,0.1,0.043,-4,-0.9,-4.9,-0.1
Pero Antic,anticpe01,C,31,ATL,50,2014,925,11.7,0.545,0.582,0.224,7.2,18.9,13.1,9.8,1,1,14.5,18.6,0.5,0.9,1.4,0.075,-1.6,-0.7,-2.3,-0.1
Trevor Ariza,arizatr01,SF,28,WAS,77,2014,2723,15.8,0.59,0.518,0.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,4.3,3.7,8,0.141,1.3,1,2.3,3
Hilton Armstrong,armsthi01,C,29,GSW,15,2014,97,17,0.48,0,0.842,21.8,31,26.5,7.1,2.1,3.1,18.7,14.5,0.1,0.2,0.3,0.162,-0.7,0.5,-0.1,0
Darrell Arthur,arthuda01,SF,25,DEN,68,2014,1161,9.4,0.459,0.156,0.151,4.8,14.7,9.8,8,1.6,3,11.7,18.1,-0.5,1.2,0.7,0.029,-4,0.8,-3.2,-0.4
Omer Asik,asikom01,C,27,HOU,48,2014,968,14,0.57,0,0.663,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,1,1.5,2.4,0.121,-1.2,-0.3,-1.5,0.1
D.J. Augustin,augusdj01,PG,26,TOT,71,2014,1939,16.2,0.569,0.462,0.316,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,3.8,2.4,6.2,0.154,1.9,-0.4,1.4,1.7
D.J. Augustin,augusdj01,PG,26,TOR,10,2014,82,1.2,0.394,0.458,0.25,0,5.7,2.8,18.4,0.6,0,25.3,19.8,-0.2,0,-0.2,-0.112,-6.9,-2.2,-9.1,-0.1
D.J. Augustin,augusdj01,PG,26,CHI,61,2014,1857,16.8,0.574,0.463,0.318,0.9,6.7,3.9,29.3,1.5,0.1,12.8,22.5,4,2.4,6.4,0.166,2.2,-0.3,1.9,1.8
Gustavo Ayon,ayongu01,C,28,ATL,26,2014,429,12.9,0.505,0,0.196,11.4,22.3,16.9,10,3,1.8,20.7,14.8,0,0.7,0.7,0.078,-2.5,1.4,-1.2,0.1
Jeff Ayres,pendeje02,PF,26,SAS,73,2014,952,11.1,0.605,0,0.316,11,19.2,15.3,8.6,0.7,1.9,24.1,12.4,1,1.4,2.4,0.121,-3,1,-2.1,0
Chris Babb,babbch01,SG,23,BOS,14,2014,132,3.7,0.367,0.9,0,3.3,11.5,7.3,3.3,2.3,0,9.1,11.1,-0.1,0.1,0,-0.008,-6,-0.1,-6.1,-0.1
Luke Babbitt,babbilu01,PF,24,NOP,27,2014,473,12.1,0.525,0.617,0.117,4.4,17.5,10.8,9.4,0.8,1.9,8.5,17,0.5,0.2,0.7,0.074,0,-1.1,-1.1,0.1
