EOY_rank,player_name,player_id,Season,Reg Season,Age,team,First,Pts Won,Pts Max,Share,G,mp_pg,PTS_pg,TRB_pg,AST_pg,STL_pg,BLK_pg,FG%,3P%,FT%,WS,WS/48,BPM,VORP,raptor_box_total,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season
8,Damian Lillard,lillada01,2020,RS,29,POR,0,23,1010,0.023,66,37.5,30,4.3,8,1.1,0.3,0.463,0.401,0.888,11.6,0.225,7.5,5.9,6.748770163,4.24558309,8.608265027,-2.013972924,6.594292103,11.9260111,11.9260111
9,Nikola Jokic,jokicni01,2020,RS,24,DEN,0,18,1010,0.018,73,32,19.9,9.7,7,1.2,0.6,0.528,0.314,0.817,9.8,0.202,7.4,5.5,5.183752912,3.799736853,4.359802904,0.793855676,5.15365858,9.380333757,9.380333757
10,Pascal Siakam,siakapa01,2020,RS,25,TOR,0,17,1010,0.017,60,35.2,22.9,7.3,3.5,1,0.9,0.453,0.359,0.792,5.4,0.123,1.8,2,-0.061317789,7.085215507,0.270256655,1.054929756,1.325186412,4.395211852,4.395211852
11,Jimmy Butler,butleji01,2020,RS,30,MIA,0,9,1010,0.009,58,33.8,19.9,6.7,6,1.8,0.6,0.455,0.244,0.834,9,0.221,5.4,3.7,6.79514687,1.663531336,4.09044345,2.012226122,6.102669572,8.796233576,8.796233576
12,Jayson Tatum,tatumja01,2020,RS,21,BOS,0,1,1010,0.001,66,34.3,23.4,7,3,1.4,0.9,0.45,0.403,0.812,6.9,0.146,4,3.4,4.29252208,7.585236816,3.358825166,1.836661361,5.195486527,9.158698975,9.158698975
1,Giannis Antetokounmpo,antetgi01,2019,RS,24,MIL,78,941,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,10.4,7.4,6.765437732,5.488159045,4.184342326,2.567987886,6.752330212,11.5725334,11.5725334
2,James Harden,hardeja01,2019,RS,29,HOU,23,776,1010,0.768,78,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,0.254,11,9.3,12.12694529,3.171711489,9.815956048,1.12136348,10.93731953,20.05794608,20.05794608
3,Paul George,georgpa01,2019,RS,28,OKC,0,356,1010,0.352,77,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,7.2,6.6,8.239146432,10.19515774,5.316362802,3.787823577,9.104186379,17.38179887,17.38179887
4,Nikola Jokic,jokicni01,2019,RS,23,DEN,0,212,1010,0.21,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226,9.1,7,8.048230301,3.04987375,5.642958831,1.762306972,7.405265803,13.03130189,13.03130189
5,Stephen Curry,curryst01,2019,RS,30,GSW,0,175,1010,0.173,69,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199,6.6,5.1,7.062215871,10.94626982,7.482670433,0.672821878,8.155492312,13.2637935,13.2637935
6,Damian Lillard,lillada01,2019,RS,28,POR,0,69,1010,0.068,80,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205,6.4,6,5.821460877,7.394710146,6.778516144,-0.381945411,6.396570733,13.34053237,13.34053237
7,Joel Embiid,embiijo01,2019,RS,24,PHI,0,49,1010,0.049,64,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194,4.9,3.8,5.978980593,5.696988762,2.628669551,3.590693099,6.21936265,9.917043174,9.917043174
8,Kevin Durant,duranke01,2019,RS,30,GSW,0,25,1010,0.025,78,34.6,26,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204,5.5,5.1,3.828579319,8.017050411,4.971488419,-0.175648056,4.795840363,10.51977868,10.51977868
9,Kawhi Leonard,leonaka01,2019,RS,27,TOR,0,13,1010,0.013,60,34,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224,7.2,4.7,6.371723797,0.314009219,4.733646303,0.666757479,5.400403782,8.479706749,8.479706749
10,Russell Westbrook,westbru01,2019,RS,30,OKC,0,8,1010,0.008,73,36,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124,5.2,4.7,2.515808618,1.304143343,2.70246334,-0.326028389,2.376434951,7.063564579,7.063564579
11,Rudy Gobert,goberru01,2019,RS,26,UTA,0,1,1010,0.001,81,31.8,15.9,12.9,2,0.8,2.3,0.669,,0.636,14.4,0.268,5.4,4.8,6.278992682,3.191710169,0.845833609,5.084444202,5.930277811,11.4178057,11.4178057
12,LeBron James,jamesle01,2019,RS,34,LAL,0,1,1010,0.001,55,35.2,27.4,8.5,8.3,1.3,0.6,0.51,0.339,0.665,7.2,0.179,8,4.9,5.360802029,4.673763838,5.413270187,0.164745304,5.57801549,8.297431002,8.297431002
1,James Harden,hardeja01,2018,RS,28,HOU,86,965,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,9.9,7.7,11.49374869,2.893067043,9.127369759,1.151305016,10.27867478,17.04801522,17.04801522
2,LeBron James,jamesle01,2018,RS,33,CLE,15,738,1010,0.731,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221,8.7,8.2,5.322483132,3.587043784,6.971055219,-1.731308676,5.239746543,12.40925444,12.40925444
3,Anthony Davis,davisan02,2018,RS,24,NOP,0,445,1010,0.441,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,6.7,5.9,5.173932827,4.804732994,1.532898055,3.833470056,5.366368111,11.42556453,11.42556453
4,Damian Lillard,lillada01,2018,RS,27,POR,0,207,1010,0.205,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227,7.2,6.3,6.528896518,6.652658573,6.633250275,0.258769253,6.892019528,13.2590347,13.2590347
5,Russell Westbrook,westbru01,2018,RS,29,OKC,0,76,1010,0.075,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,6.3,6.1,3.878295093,9.21301778,4.868993629,0.255407964,5.124401592,12.03068184,12.03068184
6,Giannis Antetokounmpo,antetgi01,2018,RS,23,MIL,0,75,1010,0.074,75,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,6.2,5.7,5.281167382,5.288166825,3.172225799,2.454034154,5.626259953,11.79136734,11.79136734
7,Kevin Durant,duranke01,2018,RS,29,GSW,0,66,1010,0.065,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,7.3,5.5,4.706472091,1.456990936,5.550325576,-1.348546134,4.201779442,8.363156274,8.363156274
8,DeMar DeRozan,derozde01,2018,RS,28,TOR,0,32,1010,0.032,80,33.9,23,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17,2.8,3.2,2.239132233,2.498903254,3.916477871,-1.618036468,2.298441403,7.007218212,7.007218212
9,LaMarcus Aldridge,aldrila01,2018,RS,32,SAS,0,6,1010,0.006,75,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209,3.9,3.7,3.165347784,6.710733292,2.619059633,1.451786522,4.070846155,8.582586812,8.582586812
10T,Jimmy Butler,butleji01,2018,RS,28,MIN,0,5,1010,0.005,59,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,0.198,5.8,4.2,7.633194488,6.601204563,5.538101529,2.283114419,7.821215948,11.50387641,11.50387641
